1,GUADELOUPE,Guadeloupe
2,MARTINIQUE,Martinique
3,GUYANE,Guyane
4,LA REUNION,La Réunion
6,MAYOTTE,Mayotte
11,ILE DE FRANCE,Île-de-France
24,CENTRE VAL DE LOIRE,Centre-Val de Loire
27,BOURGOGNE FRANCHE COMTE,Bourgogne-Franche-Comté
28,NORMANDIE,Normandie
32,HAUTS DE FRANCE,Hauts-de-France
44,GRAND EST,Grand Est
52,PAYS DE LA LOIRE,Pays de la Loire
53,BRETAGNE,Bretagne
75,NOUVELLE AQUITAINE,Nouvelle-Aquitaine
76,OCCITANIE,Occitanie
84,AUVERGNE RHONE ALPES,Auvergne-Rhône-Alpes
93,PROVENCE ALPES COTE D AZUR,Provence-Alpes-Côte d'Azur
94,CORSE,Corse
